y=1195, x=558..562
x=559, y=62..74
y=718, x=466..493
x=503, y=124..127
y=460, x=530..532
y=337, x=474..508
x=434, y=1260..1282
y=1632, x=540..548
x=524, y=209..232
x=524, y=1136..1138
x=497, y=1193..1202
x=467, y=1434..1448
x=507, y=1588..1595
x=460, y=1679..1686
y=1327, x=449..470
x=489, y=1765..1774
x=493, y=1647..1657
x=427, y=1015..1018
y=115, x=451..467
y=1742, x=439..457
y=1922, x=427..429
x=563, y=793..798
x=546, y=724..742
x=531, y=556..570
x=471, y=1555..1568
x=426, y=960..968
